City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
505,aracuai,-16.8497,-42.0703,305.68,34,10,2.79,BR,1693844595
506,kayangel,8.0823,134.7173,300.95,73,100,1.21,PW,1693844893
507,walvis bay,-22.9575,14.5053,293.68,37,56,7.2,NA,1693844893
508,isola di capo rizzuto,38.96,17.0933,298.81,36,0,9.77,IT,1693844894
509,san vicente,-26.6167,-54.1333,299.99,67,55,4.43,AR,1693844894
510,saipan,15.1355,145.701,300.54,89,20,0,MP,1693844895
511,ishikawa,26.4233,127.8214,301.13,83,20,2.57,JP,1693844895
512,sabang,5.8933,95.3214,299.67,84,100,9.71,ID,1693844896
513,orange,33.7,-117.7675,295.75,78,75,1.54,US,1693844733
514,kirakira,-10.4544,161.9205,299.05,89,55,3.97,SB,1693844897
515,marsabit,2.3284,37.9899,297.24,38,1,9.59,KE,1693844897
516,san pedro,14.35,121.0167,300.72,92,75,2.06,PH,1693844898
517,panjab,34.388,67.0233,286.05,29,0,3.41,AF,1693844898
518,moundou,8.5667,16.0833,299.05,90,63,1.73,TD,1693844899
519,desaguadero,-16.5656,-69.0417,285.18,22,55,3.22,PE,1693844899
520,megeve,45.8523,6.6129,298.69,48,54,1.49,FR,1693844900
521,sakti,22.0333,82.9667,297.77,96,100,2.34,IN,1693844900
522,abadan,30.3392,48.3043,311.12,30,0,3.09,IR,1693844901
523,malanje,-9.5402,16.341,305.96,11,14,1,AO,1693844901
524,pasuquin,18.3328,120.6177,299.33,92,100,6.82,PH,1693844902
525,murgab,37.4966,61.9714,296.08,40,0,3.09,TM,1693844902
526,happy valley-goose bay,53.3168,-60.3315,297.32,41,40,7.2,CA,1693844903
527,raja,8.4596,25.678,295.97,95,47,2.74,SS,1693844903
528,whakatane,-37.9585,176.9854,286.21,79,100,3.42,NZ,1693844904
529,kharhial,20.2833,82.7667,297.4,93,100,1.08,IN,1693844904
530,havre,49.5833,0.3333,302.23,51,5,6.17,FR,1693844905
531,puerto deseado,-47.7503,-65.8938,278.22,48,0,6.05,AR,1693844906
532,kalach,50.4258,41.0261,296.03,42,100,1.55,RU,1693844906
533,ewo,-0.8725,14.8206,300.52,71,96,1.69,CG,1693844907
534,barcelos,41.5388,-8.6151,295.23,81,100,3.35,PT,1693844907
535,sikeston,36.8767,-89.5879,304.09,70,0,0,US,1693844908
536,cabedelo,-6.9811,-34.8339,302.52,61,3,6.01,BR,1693844908
537,sanctuary point,-35.1114,150.629,288.89,83,78,3.21,AU,1693844909
538,wewak,-3.5534,143.6268,299.45,85,21,5.42,PG,1693844909
539,pechora,65.1472,57.2244,286.21,70,9,2.02,RU,1693844910
540,princeville,45.7668,-61.2985,296.23,75,0,3.6,CA,1693844911
541,syumsi,57.1111,51.6149,290.51,61,100,0.34,RU,1693844911
542,xai-xai,-25.0519,33.6442,295.27,73,11,5.51,MZ,1693844912
543,zhabinka,52.1984,24.0115,294.62,42,45,2.43,BY,1693844913
544,welkom,-27.9864,26.7066,296.68,12,100,3.25,ZA,1693844913
545,khandyga,62.6667,135.6,279.4,72,97,0.5,RU,1693844914
546,kroya,-7.6331,109.2461,296.65,77,100,4.04,ID,1693844915
547,yarega,63.4354,53.5765,286.31,76,100,2.02,RU,1693844915
548,hundested,55.9667,11.8667,297.14,67,1,5.82,DK,1693844916
549,scottburgh,-30.2867,30.7532,292.93,80,98,4.24,ZA,1693844917
550,rubtsovsk,51.5,81.25,289.18,55,97,3.18,RU,1693844917
551,makhambet,47.6667,51.5833,297.19,26,97,0.87,KZ,1693844918
552,constitucion,-35.3333,-72.4167,285.9,69,100,2.8,CL,1693844918
553,palm coast,29.585,-81.2078,304.26,61,0,2.68,US,1693844682
554,tucurui,-3.7661,-49.6725,310.04,31,15,2.22,BR,1693844919
555,forecariah,9.4306,-13.0881,298.88,90,99,2.26,GN,1693844920
556,huinan,42.6225,126.2614,290.7,97,33,1.62,CN,1693844920
557,itoman,26.1247,127.6694,301.16,78,67,3.6,JP,1693844921
558,camiri,-20.05,-63.5167,291.03,72,100,2.57,BO,1693844921
559,machina,13.1364,10.0492,307.82,35,90,1.14,NG,1693844922
560,new bern,35.1085,-77.0441,305.38,67,0,2.06,US,1693844860
561,homosassa springs,28.8036,-82.5759,305.5,64,75,2.57,US,1693844923
562,illizi,26.4833,8.4667,316.04,10,91,3.95,DZ,1693844923
563,fonte boa,-2.4959,-66.2662,310.04,24,98,2.59,BR,1693844924
564,mirny,62.5353,113.9611,282.05,60,100,2.05,RU,1693844739
565,shimanovsk,52,127.7,277.66,96,14,2.06,RU,1693844925
566,campo grande,-20.4428,-54.6464,305.9,43,40,10.8,BR,1693844925
567,zhanaozen,43.3,52.8,298.83,22,0,5.1,KZ,1693844926
568,kavaratti,10.5669,72.642,300.6,77,100,6.17,IN,1693844926
569,saynshand,44.8824,110.1163,296.23,41,43,3.33,MN,1693844927
570,san juan de miraflores,-12.1629,-76.9635,296.58,69,98,3.87,PE,1693844927
571,kawambwa,-9.7915,29.0791,300.72,21,27,1.45,ZM,1693844928
